"";"ID";"ID_On_Plate";"Random_ID";"Experimentor";"Testing_Date";"Plate";"Weight_mg";"Colour";"Flow_Date";"Cells_per_g_feces_FR_mean";"Cells_per_g_feces_FR_sd";"Cells_per_g_feces_mean";"Cells_per_g_feces_sd";"Cells_per_g_feces_r1";"Cells_per_g_feces_r2";"Cells_per_g_feces_r3";"Cells_per_g_feces_FR_r1";"Cells_per_g_feces_FR_r2";"Cells_per_g_feces_FR_r3";"RunTime_sec_r1";"RunTime_sec_r2";"RunTime_sec_r3";"Events_per_sec_r1";"Events_per_sec_r2";"Events_per_sec_r3";"Events_slope_r1";"Events_slope_r2";"Events_slope_r3";"DilFac_Total_r1";"DilFac_Total_r2";"DilFac_Total_r3";"flow_muL_per_sec_from_beads_r1";"flow_muL_per_sec_from_beads_r2";"flow_muL_per_sec_from_beads_r3";"flow_muL_per_sec_from_bead_slopes_r1";"flow_muL_per_sec_from_bead_slopes_r2";"flow_muL_per_sec_from_bead_slopes_r3"
"31";"Ctrl_plt1";"Control";"Ctrl_plt1";"Sandra";"2019-02-21";"1";66,7;NA;"2019-02-22";11897674732,0227;468617705,51979;13358753924,2149;1609734134,72357;11533811137,0508;13965559074,6861;14576891560,9078;11378064537,7368;12026688054,1096;12288271604,2215;30,4899990081787;30,3370009613037;29,4820000076294;3279,76396369104;3296,30473782015;3391,90014158205;3263,06946172453;3281,82764974165;3363,93927438584;2117,64705882353;2117,64705882353;2117,64705882353;0,49324825951009;0,430583838061635;0,421498354188767;0,488337040614215;0,442088433998736;0,436568316158565
"32";"12041854";"1";"31";"Sandra";"2019-02-21";"2";92,1;NA;"2019-02-22";19225125310,1077;368824582,383761;20744376911,7522;437100681,961487;21246156096,8516;20540606776,138;20446367862,2669;18811186388,7058;19345362426,3112;19518827115,3061;17,8809999847412;17,6409995269775;17,6499997711182;5592,52838685393;5668,61304242284;5665,72245307541;5622,4009427292;5673,56708341312;5662,19545850502;2117,64705882353;2117,64705882353;2117,64705882353;0,442696229448614;0,470905330040801;0,477317713512517;0,449393647736853;0,500586673339769;0,45715565715278
"33";"12040509";"2";"32";"Sandra";"2019-02-21";"2";115,4;NA;"2019-02-22";9444100487,6212;220290484,284874;9293501588,53792;439899663,867727;8790703858,16315;9482390086,4377;9607410821,0129;9230847447,83492;9430642648,69565;9670811366,33304;30,545;30,2629990386963;29,0840004730225;3273,85824193812;3304,36517121563;3438,31654427173;3266,35625080303;3300,91622243879;3411,73628395663;2117,64705882353;2117,64705882353;2117,64705882353;0,525034604553482;0,497271392693702;0,503299564601811;0,564129360538119;0,52566892867945;0,505984446187708
"34";"12041408";"3";"33";"Sandra";"2019-02-21";"2";110,9;NA;"2019-02-22";28025218399,6858;611161169,674142;30291574809,6886;888005232,700528;30355168166,09;29373482352,9412;31146073910,0346;27330414694,1869;28265597668,6679;28479642836,2025;13,3020000076294;12,8119995117188;12,73399974823;7517,66651200156;7805,18293873903;7852,99214521344;7489,45568412919;7824,56503931849;7866,90820865274;2117,64705882353;2117,64705882353;2117,64705882353;0,45017729015117;0,481141414031858;0,457194748180235;0,44276505601684;0,493588897156226;0,468916097562085
"35";"12040604";"4";"34";"Sandra";"2019-02-21";"2";108,3;NA;"2019-02-22";17368979823,2706;123856822,562104;19395831024,2602;550687496,708518;18846798075,8659;19948158288,7701;19392536708,1448;17408002298,0475;17230311347,9908;17468625823,7735;18,1359999847412;18,1930002593994;18,075;5513,89502007804;5496,61950058704;5532,50345781466;5527,12926865527;5503,34493941561;5700,8554597848;2117,64705882353;2117,64705882353;2117,64705882353;0,461829171936086;0,431877246474696;0,450395584824051;0,47355118386388;0,465267031556542;0,455866702416265
"36";"12041582";"5";"35";"Sandra";"2019-02-21";"2";116,2;NA;"2019-02-22";14428368955,7281;154618454,241391;15327445344,7832;854721525,544353;14374232470,5882;15582494117,6471;16025609446,1142;14255657683,5838;14475545786,9724;14553903396,628;24,17200050354;23,6359999847412;23,6169995117187;4137,01795121818;4230,83432325933;4234,23813640594;4118,21870089856;4212,68126962592;4209,11710751074;2117,64705882353;2117,64705882353;2117,64705882353;0,495875439358343;0,46448102844393;0,454082680773083;0,519617968272363;0,494199458930061;0,446146564726779
"37";"71010008";"6";"36";"Sandra";"2019-02-21";"2";101,7;NA;"2019-02-22";4934623299,80244;38124780,649269;4918800767,91006;239595288,660565;4665223713,95617;5141401145,03817;4949777444,73586;4900922532,69007;4926944259,77014;4976003106,94711;42,7519990158081;42,8030009841919;42,7869980621338;2339,0719101351;2336,28478612825;2337,15858856897;2336,38816506987;2337,68863120933;2334,63690759884;2117,64705882353;2117,64705882353;2117,64705882353;0,525261255749515;0,479144120521019;0,502649175897711;0,553515025530501;0,494721863837049;0,512048329258826
"38";"12040911";"7";"37";"Sandra";"2019-02-21";"2";117,5;NA;"2019-02-22";20711666598,5264;267385063,99224;21998822756,55;459739213,038871;21595788203,4546;22499559861,5917;21901120204,6036;20446141986,8845;20980874068,8108;20707983739,8839;15,2750002288818;14,98399974823;15,23299949646;6546,64474642173;6673,78548319935;6564,6952869157;6543,94497278816;6673,73215193444;6560,1773085913;2117,64705882353;2117,64705882353;2117,64705882353;0,473382628924233;0,466250766634475;0,472760834752442;0,484167783780299;0,469036391362902;0,462808458448166
"39";"12040473";"8";"38";"Sandra";"2019-02-21";"2";117,3;NA;"2019-02-22";6160546736,78481;53446564,4596872;6262668831,78853;260401750,407412;6091101524,70208;6134600747,04195;6562304223,62156;6167992801,15587;6209879829,09571;6103767580,10286;47,7919990158081;47,1900009918213;48,3490000152588;2092,40044483017;2119,09298364565;2068,29510369274;2100,93865540259;2123,22405343465;2042,77532640743;2117,64705882353;2117,64705882353;2117,64705882353;0,506311771043543;0,506135613804212;0,465062832513299;0,548092173684418;0,53534242396037;0,467635231842799
"40";"12041912";"9";"39";"Sandra";"2019-02-21";"2";116,7;NA;"2019-02-22";12164321924,2032;178105313,057662;12738474760,0658;398552050,669919;12987158876,9514;12949484598,2926;12278780804,9536;12133368854,4564;12003721961,0869;12355874957,0662;20,7579999923706;21,2380009841919;20,6920000076294;4817,41979173109;4708,54107570826;4832,78561584809;4828,50390677733;4712,2057789881;4803,42965802323;2117,64705882353;2117,64705882353;2117,64705882353;0,467129453386058;0,463482614693005;0,503139324389665;0,491813222809806;0,491094886471875;0,500043989755232
